chr1 start1 end1 chr2 start2 end2 region
chrY 3017086 3013958 chrX 4199445 4202613 stratum2
chrY 3019126 3023353 chrX 12092557 12096800 stratum3
chrY 3023368 3024443 chrX 12097240 12098321 stratum3
chrY 3025124 3026571 chrX 12098318 12099787 stratum3
chrY 3026575 3029096 chrX 12100484 12102997 stratum3
chrY 3038630 3042521 chrX 12103794 12107646 stratum3
chrY 3043287 3044289 chrX 12108538 12109548 stratum3
chrY 3044623 3048819 chrX 12109550 12113765 stratum3
chrY 3048922 3049993 chrX 12113877 12114954 stratum3
chrY 3050526 3053447 chrX 12115251 12118187 stratum3
chrY 3056086 3057910 chrX 12120482 12122332 stratum3
chrY 3058076 3062402 chrX 12122571 12126989 stratum3
chrY 3071663 3072729 chrX 12130022 12131106 stratum3
chrY 3074587 3073308 chrX 14216577 14217855 stratum1
chrY 3076955 3081180 chrX 12132637 12136917 stratum3
chrY 3082349 3083559 chrX 12137748 12138867 stratum3
chrY 3083615 3084767 chrX 12139964 12141090 stratum3
chrY 3085239 3086979 chrX 12141651 12143419 stratum3
chrY 3088237 3092032 chrX 12144564 12148506 stratum3
chrY 3092100 3094045 chrX 12148920 12150915 stratum3
chrY 3096591 3097924 chrX 10469087 10470421 stratum3
chrY 3100277 3098252 chrX 1890131 1892188 PAR
chrY 3101381 3102749 chrX 4199446 4200800 stratum2
chrY 3102838 3104493 chrX 4200985 4202612 stratum2
chrY 3104606 3105787 chrX 12155397 12156567 stratum3
chrY 3106373 3108934 chrX 12156999 12159436 stratum3
chrY 3108935 3110039 chrX 12159747 12160825 stratum3
chrY 3110055 3112906 chrX 4199805 4202613 stratum2
chrY 3113280 3115433 chrX 12161537 12163722 stratum3
chrY 3116209 3119029 chrX 12164205 12166983 stratum3
chrY 3119937 3121072 chrX 12168511 12169646 stratum3
chrY 3124213 3125378 chrX 12173347 12174538 stratum3
chrY 3125891 3128430 chrX 12175175 12177800 stratum3
chrY 3128435 3141333 chrX 12177906 12190689 stratum3
chrY 3141875 3143243 chrX 12190685 12192110 stratum3
chrY 3143243 3150774 chrX 12192297 12199934 stratum3
chrY 3153463 3154596 chrX 12200063 12201213 stratum3
chrY 3157004 3158278 chrX 20609262 20610538 stratum1
chrY 3176492 3174655 chrX 4200667 4202472 stratum2
chrY 3177743 3179433 chrX 1890141 1891833 PAR
chrY 3179434 3182562 chrX 4199446 4202612 stratum2
chrY 3183747 3185012 chrX 4706951 4708178 stratum2
chrY 3185984 3187691 chrX 12202871 12204625 stratum3
chrY 3187700 3189980 chrX 12204992 12207258 stratum3
chrY 3189979 3195104 chrX 12207329 12212417 stratum3
chrY 3200259 3198468 chrX 12216666 12218441 stratum3
chrY 3204216 3207785 chrX 12218753 12222283 stratum3
chrY 3208931 3212919 chrX 12223531 12227509 stratum3
chrY 3216969 3218632 chrX 15119410 15121051 stratum1
chrY 3224010 3226494 chrX 14617724 14620208 stratum1
chrY 3226501 3225024 chrX 10468944 10470421 stratum3
chrY 3231026 3227939 chrX 4199446 4202612 stratum2
chrY 3232805 3238181 chrX 12234681 12240178 stratum3
chrY 3241672 3244899 chrX 12240918 12244087 stratum3
chrY 3245597 3251228 chrX 12247390 12253055 stratum3
chrY 3256052 3259403 chrX 12253057 12256441 stratum3
chrY 3264411 3269379 chrX 12257269 12262371 stratum3
chrY 3276454 3275331 chrX 11840712 11841856 stratum3
chrY 3276457 3283504 chrX 12262368 12269456 stratum3
chrY 3288774 3289938 chrX 12269477 12270706 stratum3
chrY 3290290 3293870 chrX 12270729 12274329 stratum3
chrY 3296380 3298810 chrX 4199446 4201943 stratum2
chrY 3304177 3305416 chrX 12275577 12276883 stratum3
chrY 3306962 3305836 chrX 2498231 2499348 PAR
chrY 3307401 3306017 chrX 13953626 13954996 stratum1
chrY 3323680 3326870 chrX 4199445 4202612 stratum2
chrY 3333438 3339798 chrX 12278242 12284664 stratum3
chrY 3340098 3341622 chrX 12285175 12286732 stratum3
chrY 3341748 3343889 chrX 12286755 12288912 stratum3
